TID,name
1,baby needs 
1,bread and cake 
1,baking needs 
1,juice sat cord ms
1,biscuits
1,canned vegetables 
1,cleaners polishers
1,coffee
1,sauces gravy pkle
1,confectionary
1,dishcloths scour
1,frozen foods 
1,razor blades 
1,party snack foods 
1,tissues paper prd 
1,wrapping
1,mens toiletries 
1,cheese
1,milk cream
1,margarine
1,small goods 
1,fruit
1,vegetables
1,750ml white nz 
2,canned fish meat 
2,canned fruit 
2,canned vegetables 
2,sauces gravy pkle
2,deod disinfectant
2,frozen foods 
2,pet foods 
2,laundry needs 
2,tissues paper prd 
2,deodorants soap
2,haircare
2,milk cream
2,fruit
2,vegetables
3,bread and cake 
3,baking needs 
3,juice sat cord ms
3,biscuits
3,canned fruit 
3,sauces gravy pkle
3,puddings deserts
3,wrapping
3,health food other 
3,small goods 
3,dairy foods 
3,beef
3,lamb
3,fruit
3,vegetables
3,stationary
4,bread and cake 
4,baking needs 
4,juice sat cord ms
4,biscuits
4,canned vegetables 
4,breakfast food 
4,cleaners polishers
4,frozen foods 
4,jams spreads
4,pet foods 
4,party snack foods 
4,tissues paper prd 
4,deodorants soap
4,mens toiletries 
4,cheese
4,margarine
4,dairy foods 
4,beef
4,stationary
4,prepared meals 
5,bread and cake 
5,baking needs 
5,juice sat cord ms
5,tea
5,cleaners polishers
5,coffee
5,sauces gravy pkle
5,frozen foods 
5,jams spreads
5,laundry needs 
5,wrapping
5,deodorants soap
5,haircare
5,dental needs 
5,meat misc 
5,milk cream
5,margarine
5,beef
5,poultry
5,potatoes
5,vegetables
5,condiments
5,small goods2 
6,bread and cake 
6,baking needs 
6,juice sat cord ms
6,tea
6,biscuits
6,canned vegetables 
6,breakfast food 
6,confectionary
6,frozen foods 
6,spices
6,party snack foods 
6,tissues paper prd 
6,deodorants soap
6,margarine
6,dairy foods 
6,fruit
6,potatoes
6,vegetables
6,stationary
6,bake off products 
7,bread and cake 
7,baking needs 
7,juice sat cord ms
7,tea
7,biscuits
7,canned fruit 
7,canned vegetables 
7,breakfast food 
7,cleaners polishers
7,sauces gravy pkle
7,tissues paper prd 
7,soft drinks 
7,sanitary pads 
7,cheese
7,milk cream
7,margarine
7,fruit
7,electrical
8,baby needs 
8,bread and cake 
8,baking needs 
8,juice sat cord ms
8,biscuits
8,canned vegetables 
8,coffee
8,sauces gravy pkle
8,frozen foods 
8,pet foods 
8,party snack foods 
8,sanitary pads 
8,milk cream
8,fruit
8,vegetables
9,fruit
9,stationary
9,bake off products 
9,750ml red imp 
10,bread and cake 
10,baking needs 
10,juice sat cord ms
10,biscuits
10,canned fruit 
10,canned vegetables 
10,sauces gravy pkle
10,puddings deserts
10,jams spreads
10,pet foods 
10,party snack foods 
10,wrapping
10,dental needs 
10,milk cream
10,beef
10,fruit
10,vegetables
10,electrical
10,sparkling nz 
11,bread and cake 
11,baking needs 
11,juice sat cord ms
11,biscuits
11,canned fruit 
11,canned vegetables 
11,breakfast food 
11,coffee
11,dishcloths scour
11,frozen foods 
11,pet foods 
11,laundry needs 
11,haircare
11,dental needs 
11,cheese
11,milk cream
11,margarine
11,beef
11,pork
11,poultry
11,fruit
11,vegetables
11,small goods2 
12,bread and cake 
12,baking needs 
12,juice sat cord ms
12,canned fish meat 
12,canned fruit 
12,canned vegetables 
12,puddings deserts
12,jams spreads
